City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,hailar,49.2,119.7,21.7,79,98,24.49,CN,1681172873
148,saint anthony,45.0205,-93.218,67.6,30,0,10.36,US,1681172873
149,bethel,41.3712,-73.414,57.29,38,0,1.99,US,1681172873
150,port lincoln,-34.7333,135.8667,67.86,62,84,21.59,AU,1681172873
151,thompson,55.7435,-97.8558,50.16,43,20,12.66,CA,1681172873
152,nikolskoye,59.7035,30.7861,38.8,82,100,1.83,RU,1681172873
153,tasiilaq,65.6145,-37.6368,35.76,94,97,10.67,GL,1681172873
154,hambantota,6.1241,81.1185,78.33,79,72,12.03,LK,1681172874
155,ambovombe,-25.1667,46.0833,70.9,87,0,3.4,MG,1681172874
156,medea,36.2642,2.7539,52.14,36,25,1.01,DZ,1681172874
157,kutum,14.2,24.6667,77.54,14,67,5.23,SD,1681172874
158,afsin,38.2477,36.914,49.86,93,82,4.18,TR,1681172874
159,sadon,42.8518,44.0037,42.24,93,48,7.2,RU,1681172874
160,khatanga,71.9667,102.5,-8.36,97,100,6.78,RU,1681172658
161,quimper,48.0,-4.1,50.56,87,75,5.75,FR,1681172874
162,calbuco,-41.768,-73.1273,61.81,98,83,4.72,CL,1681172875
163,beloha,-25.1667,45.05,69.76,95,2,1.61,MG,1681172875
164,inhambane,-23.865,35.3833,74.26,93,44,7.25,MZ,1681172875
165,lata,40.1629,-8.3327,59.81,99,48,1.9,PT,1681172875
166,carnarvon,-24.8667,113.6333,71.4,57,33,17.87,AU,1681172875
167,tual,-5.6667,132.75,83.25,72,81,4.29,ID,1681172875
168,faanui,-16.4833,-151.75,82.42,71,94,10.98,PF,1681172875
169,balykshi,47.0667,51.8667,42.8,75,0,11.18,KZ,1681172875
170,ilulissat,69.2167,-51.1,44.62,39,69,25.32,GL,1681172875
171,oranjemund,-28.55,16.4333,55.17,79,2,10.54,NA,1681172876
172,siocon,7.7061,122.1353,82.53,69,72,1.9,PH,1681172876
173,bhainsdehi,21.6467,77.6325,79.0,36,50,0.81,IN,1681172876
174,qaqortoq,60.7167,-46.0333,32.04,84,100,3.42,GL,1681172876
175,bathsheba,13.2167,-59.5167,79.41,69,20,16.11,BB,1681172876
176,gotha,50.9482,10.7019,52.14,69,100,14.97,DE,1681172876
177,ribeira brava,32.65,-17.0667,68.63,53,0,7.76,PT,1681172876
178,redlands,34.0556,-117.1825,88.3,33,0,14.97,US,1681172876
179,ostrovnoy,68.0531,39.5131,33.94,97,100,15.3,RU,1681172876
180,kuryk,43.2,51.65,57.78,60,100,11.14,KZ,1681172877
